divname,divrating,plusminus,season,teamid,teamname,type,year,observed_ratings
Revere Open,0.0,-9.375,Winter,29243,The Gay Agenda (1),Hat,2010,-562.5
Revere Open,0.0,-13.5,Winter,29244,Evolution (2),Hat,2010,-810.0
Revere Open,0.0,10.8333333333,Winter,29245,Pull is Dead (3),Hat,2010,649.999999998
Revere Open,0.0,5.75,Winter,29246,Global Warming (4),Hat,2010,345.0
Revere Open,0.0,4.85714285714,Winter,29247,The Moon Landing (5),Hat,2010,291.428571428
Revere Open,0.0,-1.85714285714,Winter,29248,White Whale (6),Hat,2010,-111.428571428
Revere Open,0.0,6.5,Winter,29249,Christmas Day Bombers (7),Hat,2010,390.0
Revere Open,0.0,0.714285714286,Winter,29250,Lunar Landing (8),Hat,2010,42.8571428572
Revere Open,0.0,1.0,Winter,29251,Bonsai Kitten (9),Hat,2010,60.0
Revere Open,0.0,0.0,Winter,29252,Red Scare (10),Hat,2010,0.0
0.0,0.0,-3.1,Holiday,29195,Carpet Pissers (1),Hat,2009,-186.0
0.0,0.0,-3.2,Holiday,29196,Hucking Nihilists (2),Hat,2009,-192.0
0.0,0.0,0.777777777778,Holiday,29197,Mark it Zero (3),Hat,2009,46.6666666667
0.0,0.0,1.7,Holiday,29198,I Dont Huck on Shabbos (4),Hat,2009,102.0
0.0,0.0,-4.55555555556,Holiday,29199,Logjammin (5),Hat,2009,-273.333333334
0.0,0.0,4.55555555556,Holiday,29200,Savage Spare (6),Hat,2009,273.333333334
0.0,0.0,5.5,Holiday,29201,Nice Marmot (7),Hat,2009,330.0
0.0,0.0,-1.77777777778,Holiday,29202,Abide WhL10 (8),Hat,2009,-106.666666667
4/3 Div 1,1700.0,4.0,Fall,28956,Bear Cavalry,Club,2009,1940.0
4/3 Div 1,1700.0,-4.0,Fall,28942,Burning River,Club,2009,1460.0
4/3 Div 1,1700.0,-5.8,Fall,29151,Chubby Button Thundercats,Club,2009,1352.0
4/3 Div 1,1700.0,3.83333333333,Fall,28983,Fallchart,Club,2009,1930.0
